0.5	0	0
0.5	0.8	0
0.5	1.6	0
0.5	2.4	0
0.5	3.2	0
0.5	4	0
0.5	4.8	0
0.5	5.6	0
0.5	6.4	0
0.5	7.2	0
0.5	8	0
0.5	8.8	0
0.5	9.6	0
0.5	10.4	0
0.5	11.2	0
0.5	12	0
0.5	12.8	0
0.5	13.6	0
0.5	14.4	0
0.5	15.2	0
0.5	16	0
0.25	0	0
0.25	0.8	0
0.25	1.6	0
0.25	2.4	0
0.25	3.2	0
0.25	4	0
0.25	4.8	0
0.25	5.6	0
0.25	6.4	0
0.25	7.2	0
0.25	8	0
0.25	8.8	0
0.25	9.6	0
0.25	10.4	0
0.25	11.2	0
0.25	12	0
0.25	12.8	0
0.25	13.6	0
0.25	14.4	0
0.25	15.2	0
0.25	16	0
0.75	0	0
0.75	0.8	0
0.75	1.6	0
0.75	2.4	0
0.75	3.2	0
0.75	4	0
0.75	4.8	0
0.75	5.6	0
0.75	6.4	0
0.75	7.2	0
0.75	8	0
0.75	8.8	0
0.75	9.6	0
0.75	10.4	0
0.75	11.2	0
0.75	12	0
0.75	12.8	0
0.75	13.6	0
0.75	14.4	0
0.75	15.2	0
0.75	16	0
